"trial","ref_position","var_area","response","correct","rt"
1,"R",13.3932308026124,"L",TRUE,6.21599984169006
2,"R",13.7897811850999,"L",TRUE,1.76199984550476
3,"L",12.0558486739174,"R",TRUE,1.22499990463257
4,"R",13.5586524261162,"L",TRUE,1.13000011444092
5,"L",13.2962627199013,"R",TRUE,0.899999856948853
6,"L",10.8830105755478,"R",TRUE,1.02300000190735
7,"L",8.27147112064995,"R",FALSE,1.43599987030029
8,"R",9.20065313368104,"L",TRUE,3.56699991226196
9,"L",14.6228067646734,"R",TRUE,0.913000106811523
10,"R",13.7093521519564,"L",TRUE,1.36100006103516
11,"R",8.43917730078101,"R",TRUE,1.4449999332428
12,"R",12.6348856950644,"L",TRUE,1.02699995040894
13,"L",10.5519991626497,"R",TRUE,1.12700009346008
14,"R",14.5437504167203,"L",TRUE,1.01799988746643
15,"L",10.0102477713954,"R",TRUE,1.23099994659424
16,"R",14.6195068140514,"L",TRUE,1.01800012588501
17,"L",12.2238579408731,"R",TRUE,0.904999971389771
18,"R",9.50920906825922,"L",TRUE,1.13899993896484
19,"L",9.021295880666,"R",TRUE,1.22099995613098
20,"R",12.5210052684415,"L",TRUE,1.0090000629425
21,"L",13.6242503167596,"R",TRUE,1.22499990463257
